,song,artist,date,explicit,uri_cancion,popularity,usuario,links,uri_artista,duracion
79,Informer,['Snow'],2024-07-12T16:20:49Z,False,spotify:track:2LjiPAQOVazT8sRyXL3XRs,63,,https://open.spotify.com/track/2LjiPAQOVazT8sRyXL3XRs,['3uZFBSsMiooimnprFL9jD1'],268910
80,Let Me Entertain You,['Robbie Williams'],2024-07-12T16:20:49Z,False,spotify:track:0SLtqCrXBRrnkxSOMA3X4W,63,,https://open.spotify.com/track/0SLtqCrXBRrnkxSOMA3X4W,['2HcwFjNelS49kFbfvMxQYw'],262000
81,Waiting for Tonight,['Jennifer Lopez'],2024-07-12T16:20:49Z,False,spotify:track:5yaCquc7koPqtgj7v0lwHX,63,,https://open.spotify.com/track/5yaCquc7koPqtgj7v0lwHX,['2DlGxzQSjYe5N6G9nkYghR'],246426
82,Finally,['CeCe Peniston'],2024-07-12T16:20:49Z,False,spotify:track:0uqvSVhGgQTIdj9G51vhvv,63,,https://open.spotify.com/track/0uqvSVhGgQTIdj9G51vhvv,['5UoVLCWzOKMIJ9iioof9OD'],245000
83,I'm Outta Love - Radio Edit,['Anastacia'],2024-07-12T16:20:49Z,False,spotify:track:583xVl0Sbj93uU4ceixgU8,63,,https://open.spotify.com/track/583xVl0Sbj93uU4ceixgU8,['2siHvYaxjaW5rKVRiIrMYH'],245400
84,Hey Mr. D.J.,['Zhané'],2024-07-12T16:20:49Z,False,spotify:track:6eB35pgMXdfhz5Z0WjwF1O,63,,https://open.spotify.com/track/6eB35pgMXdfhz5Z0WjwF1O,['6cjSmkVvMvyE6tCAo1M9Is'],252400
85,"Fastlove, Pt. 1",['George Michael'],2024-07-12T16:20:49Z,False,spotify:track:6SaeXxdt0Id6ZzmX0ZGTQK,63,,https://open.spotify.com/track/6SaeXxdt0Id6ZzmX0ZGTQK,['19ra5tSw0tWufvUp8GotLo'],324666
86,Summertime,['DJ Jazzy Jeff & The Fresh Prince'],2024-07-12T16:20:49Z,False,spotify:track:20XdEFyaUR9C7aDIdq2OAd,63,,https://open.spotify.com/track/20XdEFyaUR9C7aDIdq2OAd,['1mG23iQeR29Ojhq89D5gbh'],270973
87,Heartbreaker (feat. Jay-Z),"['Mariah Carey', 'JAY-Z']",2024-07-12T16:20:49Z,False,spotify:track:0jsANwwkkHyyeNyuTFq2XO,63,,https://open.spotify.com/track/0jsANwwkkHyyeNyuTFq2XO,"['4iHNK0tOyZPYnBU7nGAgpQ', '3nFkdlSjzX9mRTtwJOzDYB']",285706
88,Another Night,['Real McCoy'],2024-07-12T16:20:49Z,False,spotify:track:3pEuO9J2MTEmec8kUfYYvl,63,,https://open.spotify.com/track/3pEuO9J2MTEmec8kUfYYvl,['2vRfKzjQYJQd67X8x49MOh'],236933
89,It's Like That,"['Run–D.M.C.', 'Jason Nevins']",2024-07-12T16:20:49Z,False,spotify:track:0CtkjgZpkgnW7U6WmHsakD,63,,https://open.spotify.com/track/0CtkjgZpkgnW7U6WmHsakD,"['3CQIn7N5CuRDP8wEI7FiDA', '5w0ka9nPOmEH6CcZrutyP2']",250626
90,Get A Way,['Maxx'],2024-07-12T16:20:49Z,False,spotify:track:71Cid4UeolaHRzdbmMDAVb,63,,https://open.spotify.com/track/71Cid4UeolaHRzdbmMDAVb,['6zkbUEItDv8gNXeO5WkkNX'],226734
91,Sweet Dreams,['La Bouche'],2024-07-12T16:20:49Z,False,spotify:track:2wz5weI4PREzpexKfrKgwv,63,,https://open.spotify.com/track/2wz5weI4PREzpexKfrKgwv,['488v7rQzthLNK22r0UvMie'],204586
92,In The Summertime,"['Shaggy', 'Rayvon']",2024-07-12T16:20:49Z,False,spotify:track:726KAdf3k8Ce8W95O38XNI,62,,https://open.spotify.com/track/726KAdf3k8Ce8W95O38XNI,"['5EvFsr3kj42KNv97ZEnqij', '4hB4SmzreXMTGWYj7KQ7QN']",238360
93,I Wish - Radio Edit,['Skee-Lo'],2024-07-12T16:20:49Z,False,spotify:track:0QMHVTnrFTQJoaqmkdsKhT,62,,https://open.spotify.com/track/0QMHVTnrFTQJoaqmkdsKhT,['55Pp4Ns5VfTSFsBraW7MQy'],252306
94,More And More - Single Version,['Captain Hollywood Project'],2024-07-12T16:20:49Z,False,spotify:track:0JXXm3RqxU8EKzX4P8M0n3,62,,https://open.spotify.com/track/0JXXm3RqxU8EKzX4P8M0n3,['3El2sJgqTWkg1kkyHHAEu4'],253573
95,Good Vibrations,"['Marky Mark And The Funky Bunch', 'Loleatta Holloway']",2024-07-12T16:20:49Z,False,spotify:track:5hWdgGVcfTeLPAiHM6EZG9,62,,https://open.spotify.com/track/5hWdgGVcfTeLPAiHM6EZG9,"['4046bnFxFJdLEtG7F2qXaV', '3m5hegxlB80Z2zQb1893pc']",269306
96,Real Love,['Mary J. Blige'],2024-07-12T16:20:49Z,False,spotify:track:3XG801WWhqC753dekEBkMt,62,,https://open.spotify.com/track/3XG801WWhqC753dekEBkMt,['1XkoF8ryArs86LZvFOkbyr'],269973
97,Doctor Jones,['Aqua'],2024-07-12T16:20:49Z,False,spotify:track:6EBDmMZBQkWrj7jWlGhFU1,62,,https://open.spotify.com/track/6EBDmMZBQkWrj7jWlGhFU1,['6kBjAFKyd0he7LiA5GQ3Gz'],203440
98,Let the Dream Come True,['DJ BoBo'],2024-07-12T16:20:49Z,False,spotify:track:1ZMrT3IGGyTCvZg4Ijuxzs,62,,https://open.spotify.com/track/1ZMrT3IGGyTCvZg4Ijuxzs,['14dmbYen0AciYxu5n4Fkpd'],241066
99,Da Funk,['Daft Punk'],2024-07-12T16:20:49Z,False,spotify:track:0MyY4WcN7DIfbSmp5yej5z,62,,https://open.spotify.com/track/0MyY4WcN7DIfbSmp5yej5z,['4tZwfgrHOc3mvqYlEYSvVi'],328680
